"lang","name","para","o","status"
"http://dbpedia.org/resource/VSXu","VSXu","http://dbpedia.org/resource/Visual_programming_language","http://dbpedia.org/resource/GNU/Linux","http://dbpedia.org/resource/GNU_Lesser_General_Public_License"
"http://dbpedia.org/resource/Limbo_(programming_language)","Limbo (programming language)","http://dbpedia.org/resource/Concurrent_computing","http://dbpedia.org/resource/Inferno_(operating_system)","http://dbpedia.org/resource/Open_source"
"http://dbpedia.org/resource/LiveCode","LiveCode","http://dbpedia.org/resource/Object-oriented_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Proprietary_software"
"http://dbpedia.org/resource/LiveCode","LiveCode","http://dbpedia.org/resource/Object-oriented_programming","http://dbpedia.org/resource/Windows_(operating_system)","http://dbpedia.org/resource/Proprietary_software"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Object-oriented_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/MIT_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Functional_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/MIT_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Structured_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/MIT_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Concurrent_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/MIT_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Multi-paradigm_programming_language","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/MIT_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Imperative_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/MIT_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Compiled_language","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/MIT_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Object-oriented_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Apache_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Functional_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Apache_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Structured_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Apache_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Concurrent_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Apache_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Multi-paradigm_programming_language","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Apache_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Imperative_programming","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Apache_License"
"http://dbpedia.org/resource/Rust_(programming_language)","Rust (programming language)","http://dbpedia.org/resource/Compiled_language","http://dbpedia.org/resource/IOS","http://dbpedia.org/resource/Apache_License"
"http://dbpedia.org/resource/XL_(programming_language)","XL (programming language)","http://dbpedia.org/resource/Multi-paradigm_programming_language","http://dbpedia.org/resource/Unix-like","http://dbpedia.org/resource/GPLv2"
